set,n_graphs,signature,target,target_desc,determined,H_target,I_signature_target,H_target_given_signature
chemp_n9,11704,deck:adj_spec,ds_sig,multiset of degree sequences of the cards,True,9.758357,9.758357,0.0
chemp_n9,11704,deck:adj_spec,et,multiset of edge degree-types of G,True,9.758357,9.758357,0.0
chemp_n9,11704,deck:adj_spec,so,Sombor index SO(G),True,9.753616,9.753616,0.0
chemp_n9,11704,deck:adj_spec,dd,multiset {Delta_e},True,13.113663,13.113663,0.0
chemp_n9,11704,deck:adj_spec,taus,number of spanning trees,True,9.02365,9.02365,0.0
chemp_n9,11704,deck:adj_spec,tri,number of triangles,True,2.641744,2.641744,0.0
chemp_n9,11704,deck:adj_spec,wiener,Wiener index,True,5.4443,5.4443,0.0
chemp_n9,11704,deck:adj_spec,n,order n,True,0.847161,0.847161,0.0
chemp_n9,11704,deck:adj_spec,m,size m,True,2.847327,2.847327,0.0
chemp_n9,11704,deck:adj_spec,C,Sombor deletion correction C(G),True,9.758186,9.758186,0.0
chemp_n9,11704,deck:lap_spec,ds,degree sequence of G,True,6.39856,6.39856,0.0
chemp_n9,11704,deck:lap_spec,ds_sig,multiset of degree sequences of the cards,True,9.758357,9.758357,0.0
chemp_n9,11704,deck:lap_spec,et,multiset of edge degree-types of G,True,9.758357,9.758357,0.0
chemp_n9,11704,deck:lap_spec,so,Sombor index SO(G),True,9.753616,9.753616,0.0
chemp_n9,11704,deck:lap_spec,dd,multiset {Delta_e},True,13.113663,13.113663,0.0
chemp_n9,11704,deck:lap_spec,taus,number of spanning trees,True,9.02365,9.02365,0.0
chemp_n9,11704,deck:lap_spec,tri,number of triangles,True,2.641744,2.641744,0.0
chemp_n9,11704,deck:lap_spec,wiener,Wiener index,True,5.4443,5.4443,0.0
chemp_n9,11704,deck:lap_spec,n,order n,True,0.847161,0.847161,0.0
chemp_n9,11704,deck:lap_spec,m,size m,True,2.847327,2.847327,0.0
chemp_n9,11704,deck:lap_spec,C,Sombor deletion correction C(G),True,9.758186,9.758186,0.0
chemp_n9,11704,deck:q_spec,ds,degree sequence of G,True,6.39856,6.39856,0.0
chemp_n9,11704,deck:q_spec,ds_sig,multiset of degree sequences of the cards,True,9.758357,9.758357,0.0
chemp_n9,11704,deck:q_spec,et,multiset of edge degree-types of G,True,9.758357,9.758357,0.0
chemp_n9,11704,deck:q_spec,so,Sombor index SO(G),True,9.753616,9.753616,0.0
chemp_n9,11704,deck:q_spec,dd,multiset {Delta_e},True,13.113663,13.113663,0.0
chemp_n9,11704,deck:q_spec,taus,number of spanning trees,True,9.02365,9.02365,0.0
chemp_n9,11704,deck:q_spec,tri,number of triangles,True,2.641744,2.641744,0.0
chemp_n9,11704,deck:q_spec,wiener,Wiener index,True,5.4443,5.4443,0.0
chemp_n9,11704,deck:q_spec,n,order n,True,0.847161,0.847161,0.0
chemp_n9,11704,deck:q_spec,m,size m,True,2.847327,2.847327,0.0
chemp_n9,11704,deck:q_spec,C,Sombor deletion correction C(G),True,9.758186,9.758186,0.0
chemp_n9,11704,deck:adj_charpoly,ds,degree sequence of G,True,6.39856,6.39856,0.0
chemp_n9,11704,deck:adj_charpoly,ds_sig,multiset of degree sequences of the cards,True,9.758357,9.758357,0.0
chemp_n9,11704,deck:adj_charpoly,et,multiset of edge degree-types of G,True,9.758357,9.758357,0.0
chemp_n9,11704,deck:adj_charpoly,so,Sombor index SO(G),True,9.753616,9.753616,0.0
chemp_n9,11704,deck:adj_charpoly,dd,multiset {Delta_e},True,13.113663,13.113663,0.0
chemp_n9,11704,deck:adj_charpoly,taus,number of spanning trees,True,9.02365,9.02365,0.0
chemp_n9,11704,deck:adj_charpoly,tri,number of triangles,True,2.641744,2.641744,0.0
chemp_n9,11704,deck:adj_charpoly,wiener,Wiener index,True,5.4443,5.4443,0.0
chemp_n9,11704,deck:adj_charpoly,n,order n,True,0.847161,0.847161,0.0
chemp_n9,11704,deck:adj_charpoly,m,size m,True,2.847327,2.847327,0.0
chemp_n9,11704,deck:adj_charpoly,C,Sombor deletion correction C(G),True,9.758186,9.758186,0.0
chemp_n9,11704,deck:lap_charpoly,ds,degree sequence of G,True,6.39856,6.39856,0.0
chemp_n9,11704,deck:lap_charpoly,ds_sig,multiset of degree sequences of the cards,True,9.758357,9.758357,0.0
chemp_n9,11704,deck:lap_charpoly,et,multiset of edge degree-types of G,True,9.758357,9.758357,0.0
chemp_n9,11704,deck:lap_charpoly,so,Sombor index SO(G),True,9.753616,9.753616,0.0
chemp_n9,11704,deck:lap_charpoly,dd,multiset {Delta_e},True,13.113663,13.113663,0.0
chemp_n9,11704,deck:lap_charpoly,taus,number of spanning trees,True,9.02365,9.02365,0.0
chemp_n9,11704,deck:lap_charpoly,tri,number of triangles,True,2.641744,2.641744,0.0
chemp_n9,11704,deck:lap_charpoly,wiener,Wiener index,True,5.4443,5.4443,0.0
chemp_n9,11704,deck:lap_charpoly,n,order n,True,0.847161,0.847161,0.0
chemp_n9,11704,deck:lap_charpoly,m,size m,True,2.847327,2.847327,0.0
chemp_n9,11704,deck:lap_charpoly,C,Sombor deletion correction C(G),True,9.758186,9.758186,0.0
chemp_n9,11704,deck:energy,ds,degree sequence of G,False,6.39856,6.398389,0.000171
chemp_n9,11704,deck:energy,ds_sig,multiset of degree sequences of the cards,False,9.758357,9.758186,0.000171
chemp_n9,11704,deck:energy,et,multiset of edge degree-types of G,False,9.758357,9.758186,0.000171
chemp_n9,11704,deck:energy,so,Sombor index SO(G),False,9.753616,9.753445,0.000171
chemp_n9,11704,deck:energy,dd,multiset {Delta_e},False,13.113663,13.113492,0.000171
chemp_n9,11704,deck:energy,taus,number of spanning trees,False,9.02365,9.023479,0.000171
chemp_n9,11704,deck:energy,tri,number of triangles,False,2.641744,2.641573,0.000171
chemp_n9,11704,deck:energy,wiener,Wiener index,False,5.4443,5.444129,0.000171
chemp_n9,11704,deck:energy,n,order n,False,0.847161,0.84699,0.000171
chemp_n9,11704,deck:energy,m,size m,True,2.847327,2.847327,0.0
chemp_n9,11704,deck:energy,C,Sombor deletion correction C(G),False,9.758186,9.758015,0.000171
chem_n8,2391,deck:deg_seq,ds,degree sequence of G,True,6.358748,6.358748,0.0
chem_n8,2391,deck:deg_seq,ds_sig,multiset of degree sequences of the cards,True,8.917921,8.917921,0.0
chem_n8,2391,deck:deg_seq,et,multiset of edge degree-types of G,True,8.917921,8.917921,0.0
chem_n8,2391,deck:deg_seq,so,Sombor index SO(G),True,8.917921,8.917921,0.0
chem_n8,2391,deck:deg_seq,dd,multiset {Delta_e},False,10.910835,8.917921,1.992914
