n,graphs_with_m>=2,naive_identity_failures,corrected_identity_failures,max_rel_gap_naive,min_C,max_C
1,0,0,0,0.000000,0.000000,0.000000
2,0,0,0,0.000000,0.000000,0.000000
3,2,2,0,0.367544,1.643709,3.554155
4,9,8,0,0.367544,0.000000,15.290146
5,32,31,0,0.367544,0.000000,39.411255
6,154,152,0,0.367544,0.000000,80.153229
7,1042,1040,0,0.367544,0.000000,141.756657
8,12344,12341,0,0.367544,0.000000,228.463361
9,274666,274663,0,0.367544,0.000000,344.515594
