n,m,graphs,C_min,C_min_graph,C_min_degseq,C_max,C_max_graph,C_max_degseq,argmax_has_max_M1,C_min_is_regular,C_max_maxdeg
9,20,27987,93.320820391,HCzVRiy,"5,5,5,5,4,4,4,4,4",142.769767709,H??Fv~~,"8,8,7,3,3,3,3,3,2",0,False,8
9,21,21933,104.155541514,HEyvRji,"5,5,5,5,5,5,4,4,4",156.387223181,H??F~~~,"8,8,8,3,3,3,3,3,3",0,False,8
9,22,15615,114.990262636,HEhvvY{,"5,5,5,5,5,5,5,5,4",162.018573647,H?AF~~~,"8,8,8,4,4,3,3,3,3",0,False,8
9,23,10120,127.395313044,HEzvViy,"6,5,5,5,5,5,5,5,5",169.542327546,H?BF~~~,"8,8,8,5,4,4,3,3,3",0,False,8
9,24,5995,141.452862151,HEjvrzy,"6,6,6,5,5,5,5,5,5",179.168573926,H?Bf~~~,"8,8,8,6,4,4,4,3,3",0,False,8
9,25,3252,155.145891012,HQzvvi|,"6,6,6,6,6,5,5,5,5",190.959908201,H?Bv~~~,"8,8,8,7,4,4,4,4,3",0,False,8
9,26,1637,168.838919873,HFzvVzu,"6,6,6,6,6,6,6,5,5",204.917338164,H?B~~~~,"8,8,8,8,4,4,4,4,4",0,False,8
9,27,771,182.25855855,HFzf~z{,"6,6,6,6,6,6,6,6,6",213.505081298,H?b~~~~,"8,8,8,8,5,5,4,4,4",0,True,8
9,28,345,199.314253897,HFzf~z},"7,7,6,6,6,6,6,6,6",228.463361051,HTm||}~,"7,7,7,7,7,7,7,7,0",1,False,7
9,29,148,216.075444587,HFzv~z},"7,7,7,7,6,6,6,6,6",240.553867408,HTm||~~,"8,7,7,7,7,7,7,7,1",1,False,8
9,30,63,232.542130622,HVzv~z},"7,7,7,7,7,7,6,6,6",252.599462069,HTm|~~~,"8,8,7,7,7,7,7,7,2",1,False,8
9,31,25,248.935190493,HVz~v~},"7,7,7,7,7,7,7,7,6",265.014753873,HTm~~~~,"8,8,8,7,7,7,7,7,3",1,False,8
9,32,11,266.989186118,H]~v~z~,"8,7,7,7,7,7,7,7,7",278.202210808,HTn~~~~,"8,8,8,8,7,7,7,7,4",1,False,8
9,33,5,286.740260011,H]~v~~~,"8,8,8,7,7,7,7,7,7",292.827260609,HF~~~~~,"8,8,8,8,8,8,6,6,6",0,False,8
9,34,2,306.245019268,H]~~~~~,"8,8,8,8,8,7,7,7,7",308.212440808,HV~~~~~,"8,8,8,8,8,8,7,7,6",1,False,8
