set,source,n,classes,resolved,collision_graphs,collision_rate,largest_class,residual_bits,identity_bits
all_n8,deck:itself,13598,13581,False,28,0.0020591263421091337,8,0.003235769966171496,13.731106854388033
all_n8,deck:n,13598,85,False,13579,0.998602735696426,1646,9.567652269982121,13.731106854388033
all_n8,deck:m,13598,29,False,13596,0.9998529195469922,1712,9.969599936058005,13.731106854388033
all_n8,deck:deg_seq,13598,6535,False,9540,0.7015737608471834,33,1.594127784443326,13.731106854388033
all_n8,deck:edge_types,13598,11553,False,3642,0.26783350492719515,11,0.33476864660409733,13.731106854388033
all_n8,deck:comp_sizes,13598,682,False,13255,0.9747757023091631,1214,7.861886046541718,13.731106854388033
all_n8,deck:n_comp,13598,175,False,13575,0.9983085747904104,1253,8.454895260444216,13.731106854388033
all_n8,deck:max_deg,13598,171,False,13583,0.9988968966024415,588,7.577213148753166,13.731106854388033
all_n8,deck:min_deg,13598,365,False,13515,0.9938961612001765,573,7.007072953728818,13.731106854388033
all_n8,deck:n_leaves,13598,572,False,13515,0.9938961612001765,582,6.71044596808046,13.731106854388033
all_n8,deck:tri,13598,2050,False,12781,0.9399176349463156,167,4.186785517325606,13.731106854388033
all_n8,deck:clique,13598,173,False,13579,0.998602735696426,978,7.831730796712719,13.731106854388033
all_n8,deck:indep,13598,509,False,13445,0.9887483453449036,498,6.670374522177563,13.731106854388033
all_n8,deck:chrom,13598,262,False,13557,0.9969848507133402,959,7.491229082998681,13.731106854388033
all_n8,deck:girth,13598,119,False,13583,0.9988968966024415,1670,9.283018901983336,13.731106854388033
all_n8,deck:n_bridges,13598,306,False,13583,0.9988968966024415,580,6.918953803220599,13.731106854388033
all_n8,deck:n_cut,13598,1087,False,13307,0.9785997940873657,522,5.973259458119537,13.731106854388033
all_n8,deck:bipartite,13598,79,False,13591,0.9994852184144727,1678,9.43808513672432,13.731106854388033
all_n8,deck:forest,13598,48,False,13594,0.9997058390939844,1712,9.876239871803206,13.731106854388033
all_n8,deck:biconnected,13598,137,False,13581,0.9987498161494337,921,8.185453293676503,13.731106854388033
all_n8,deck:diam,13598,848,False,13370,0.9832328283571113,494,5.789722787156253,13.731106854388033
all_n8,deck:ecc_seq,13598,7466,False,7739,0.5691278129136638,104,1.7139180440373625,13.731106854388033
all_n8,deck:dist_dist,13598,6245,False,9316,0.6851007501103104,180,2.162801089112632,13.731106854388033
all_n8,deck:max_match,13598,130,False,13584,0.9989704368289455,1110,8.35353080884325,13.731106854388033
all_n8,deck:match_poly,13598,12332,False,2305,0.16951022209148403,11,0.203040080904557,13.731106854388033
all_n8,deck:n_perfect_match,13598,3350,False,11384,0.8371819385203706,467,4.37430008546235,13.731106854388033
all_n8,deck:taus,13598,7940,False,6778,0.49845565524341817,194,1.8184932234222906,13.731106854388033
all_n8,deck:sombor,13598,11553,False,3642,0.26783350492719515,11,0.33476864660409733,13.731106854388033
all_n8,deck:sombor_inv,13598,11553,False,3642,0.26783350492719515,11,0.33476864660409733,13.731106854388033
all_n8,deck:sombor_sq,13598,5588,False,10890,0.8008530666274453,33,1.7907672503721812,13.731106854388033
all_n8,deck:sombor_red,13598,11553,False,3642,0.26783350492719515,11,0.33476864660409733,13.731106854388033
all_n8,deck:randic,13598,11553,False,3642,0.26783350492719515,11,0.33476864660409733,13.731106854388033
all_n8,deck:abc,13598,11545,False,3653,0.26864244741873805,11,0.3364420461850771,13.731106854388033
all_n8,deck:m1,13598,4941,False,11356,0.8351228121782616,33,2.0328914695660845,13.731106854388033
all_n8,deck:m2,13598,11458,False,3812,0.28033534343285776,11,0.3499236841121593,13.731106854388033
all_n8,deck:forgotten,13598,5588,False,10890,0.8008530666274453,33,1.7907672503721812,13.731106854388033
all_n8,deck:harmonic,13598,11528,False,3669,0.2698190910428004,11,0.3407920565057695,13.731106854388033
all_n8,deck:ga,13598,11545,False,3646,0.2681276658332108,12,0.338184458924772,13.731106854388033
all_n8,deck:sum_conn,13598,11529,False,3667,0.2696720105897926,11,0.34064497605276167,13.731106854388033
all_n8,deck:isi,13598,11551,False,3644,0.267980585380203,11,0.3355040488691363,13.731106854388033
all_n8,deck:az,13598,11545,False,3653,0.26864244741873805,11,0.3364420461850771,13.731106854388033
all_n8,deck:adj_spec,13598,13581,False,28,0.0020591263421091337,8,0.003235769966171496,13.731106854388033
all_n8,deck:lap_spec,13598,13581,False,28,0.0020591263421091337,8,0.003235769966171496,13.731106854388033
all_n8,deck:q_spec,13598,13567,False,55,0.00404471245771437,8,0.0053504109061746925,13.731106854388033
all_n8,deck:adj_charpoly,13598,13581,False,28,0.0020591263421091337,8,0.003235769966171496,13.731106854388033
all_n8,deck:lap_charpoly,13598,13581,False,28,0.0020591263421091337,8,0.003235769966171496,13.731106854388033
all_n8,deck:energy,13598,12344,False,2296,0.16884836005294895,11,0.19987523589502187,13.731106854388033
all_n8,deck:spectral_radius,13598,12330,False,2311,0.16995146345050743,11,0.2028631157658184,13.731106854388033
all_n8,deck:wiener,13598,6159,False,9440,0.6942197381967936,180,2.1796187863397285,13.731106854388033
all_n8,graph:n,13598,8,False,13597,0.9999264597734961,12346,13.210067995701488,13.731106854388033
all_n8,graph:m,13598,29,False,13596,0.9998529195469922,1712,9.969599936058005,13.731106854388033
all_n8,graph:deg_seq,13598,1706,False,12903,0.9488895425797912,184,4.520989807530537,13.731106854388033
all_n8,graph:edge_types,13598,5590,False,10890,0.8008530666274453,33,1.7891590238202992,13.731106854388033
all_n8,graph:comp_sizes,13598,66,False,13574,0.9982350345639065,11117,12.517914866374854,13.731106854388033
all_n8,graph:n_comp,13598,8,False,13597,0.9999264597734961,12113,13.135918142852427,13.731106854388033
all_n8,graph:max_deg,13598,8,False,13598,1.0,5281,11.68459038135291,13.731106854388033
all_n8,graph:min_deg,13598,8,False,13597,0.9999264597734961,5283,11.740958466422585,13.731106854388033
all_n8,graph:n_leaves,13598,9,False,13597,0.9999264597734961,8738,12.305310795651295,13.731106854388033
all_n8,graph:tri,13598,45,False,13592,0.9995587586409767,1352,9.522038272687984,13.731106854388033
all_n8,graph:clique,13598,8,False,13597,0.9999264597734961,6700,12.186171066928036,13.731106854388033
all_n8,graph:indep,13598,8,False,13597,0.9999264597734961,6700,12.186171066928036,13.731106854388033
all_n8,graph:chrom,13598,8,False,13597,0.9999264597734961,6404,12.208294038641721,13.731106854388033
all_n8,graph:girth,13598,7,False,13597,0.9999264597734961,13016,13.418703556638345,13.731106854388033
all_n8,graph:n_bridges,13598,8,False,13598,1.0,8686,12.222571924502832,13.731106854388033
all_n8,graph:n_cut,13598,7,False,13597,0.9999264597734961,8432,12.301830759196873,13.731106854388033
all_n8,graph:bipartite,13598,2,False,13598,1.0,13146,13.520717274057759,13.731106854388033
all_n8,graph:forest,13598,2,False,13598,1.0,13443,13.641177404392936,13.731106854388033
all_n8,graph:biconnected,13598,2,False,13598,1.0,7661,12.742733071761968,13.731106854388033
all_n8,graph:diam,13598,8,False,13597,0.9999264597734961,6802,12.266174823328718,13.731106854388033
all_n8,graph:ecc_seq,13598,242,False,13525,0.9946315634652154,3112,9.361363433738722,13.731106854388033
all_n8,graph:dist_dist,13598,555,False,13459,0.9897779085159583,787,7.114868117682754,13.731106854388033
