g6,n,m,W,sum_cards_W,naive_(m-1)W,ratio
FFz~w,7,17,25.0,442.0,400.0,1.105
FF~~w,7,18,24.0,450.0,408.0,1.102941
FQhTO,7,9,9.0,90.0,72.0,1.25
FQhVO,7,10,38.0,377.0,342.0,1.102339
FQhVo,7,11,34.0,400.0,340.0,1.176471
FQhVw,7,12,30.0,390.0,330.0,1.181818
FQilW,7,11,11.0,130.0,110.0,1.181818
FQinW,7,12,34.0,388.0,374.0,1.037433
FQino,7,12,32.0,410.0,352.0,1.164773
FQinw,7,13,29.0,406.0,348.0,1.166667
FQjRo,7,11,31.0,370.0,310.0,1.193548
FQjUg,7,11,35.0,408.0,350.0,1.165714
FQjVO,7,11,33.0,388.0,330.0,1.175758
FQjVg,7,12,32.0,402.0,352.0,1.142045
FQjVo,7,12,30.0,385.0,330.0,1.166667
FQjVw,7,13,29.0,398.0,348.0,1.143678
FQjlo,7,12,30.0,394.0,330.0,1.193939
FQjlw,7,13,29.0,405.0,348.0,1.163793
FQjnW,7,13,32.0,416.0,384.0,1.083333
FQjno,7,13,29.0,399.0,348.0,1.146552
FQjnw,7,14,28.0,412.0,364.0,1.131868
FQjuo,7,12,30.0,380.0,330.0,1.151515
FQjuw,7,13,29.0,398.0,348.0,1.143678
FQjvO,7,12,31.0,393.0,341.0,1.152493
FQjvW,7,13,30.0,409.0,360.0,1.136111
FQjvg,7,13,31.0,416.0,372.0,1.11828
FQjvo,7,13,29.0,394.0,348.0,1.132184
FQjvw,7,14,28.0,410.0,364.0,1.126374
FQj~o,7,14,28.0,406.0,364.0,1.115385
FQj~w,7,15,27.0,420.0,378.0,1.111111
FQyuw,7,13,29.0,394.0,348.0,1.132184
FQyvO,7,12,30.0,386.0,330.0,1.169697
FQyvW,7,13,29.0,398.0,348.0,1.143678
FQyvo,7,13,29.0,393.0,348.0,1.12931
FQyvw,7,14,28.0,406.0,364.0,1.115385
FQy~w,7,15,27.0,420.0,378.0,1.111111
FQzTg,7,12,30.0,379.0,330.0,1.148485
FQzTo,7,12,30.0,381.0,330.0,1.154545
FQzVW,7,13,30.0,407.0,360.0,1.130556
FQzVo,7,13,29.0,395.0,348.0,1.135057
FQzVw,7,14,28.0,408.0,364.0,1.120879
FQz\w,7,14,28.0,410.0,364.0,1.126374
FQz^w,7,15,27.0,422.0,378.0,1.116402
FQzlw,7,14,28.0,412.0,364.0,1.131868
FQzmw,7,14,29.0,422.0,377.0,1.119363
FQznW,7,14,30.0,423.0,390.0,1.084615
FQznw,7,15,27.0,424.0,378.0,1.121693
FQzto,7,13,29.0,392.0,348.0,1.126437
FQztw,7,14,28.0,407.0,364.0,1.118132
FQzuo,7,13,29.0,392.0,348.0,1.126437
FQzuw,7,14,28.0,408.0,364.0,1.120879
FQzvO,7,13,29.0,398.0,348.0,1.143678
FQzvW,7,14,28.0,412.0,364.0,1.131868
FQzvg,7,14,28.0,409.0,364.0,1.123626
FQzvo,7,14,28.0,406.0,364.0,1.115385
FQzvw,7,15,27.0,420.0,378.0,1.111111
FQz~o,7,15,27.0,420.0,378.0,1.111111
FQz~w,7,16,26.0,432.0,390.0,1.107692
FQ~vo,7,15,27.0,420.0,378.0,1.111111
FQ~vw,7,16,26.0,432.0,390.0,1.107692
FQ~~w,7,17,25.0,442.0,400.0,1.105
FTm|w,7,15,15.0,240.0,210.0,1.142857
FTm~w,7,16,26.0,425.0,390.0,1.089744
FTn~o,7,16,26.0,434.0,390.0,1.112821
FTn~w,7,17,25.0,442.0,400.0,1.105
FT~vo,7,16,26.0,433.0,390.0,1.110256
FT~vw,7,17,25.0,442.0,400.0,1.105
FT~~w,7,18,24.0,450.0,408.0,1.102941
FUZuo,7,13,29.0,391.0,348.0,1.123563
FUZuw,7,14,28.0,407.0,364.0,1.118132
FUZvW,7,14,28.0,408.0,364.0,1.120879
FUZvg,7,14,28.0,412.0,364.0,1.131868
FUZvo,7,14,28.0,406.0,364.0,1.115385
FUZvw,7,15,27.0,420.0,378.0,1.111111
FUZ~o,7,15,27.0,420.0,378.0,1.111111
FUZ~w,7,16,26.0,432.0,390.0,1.107692
FUu~w,7,16,26.0,434.0,390.0,1.112821
FUv\w,7,15,28.0,435.0,392.0,1.109694
FUv]w,7,15,28.0,426.0,392.0,1.086735
FUv^w,7,16,26.0,434.0,390.0,1.112821
FUv~o,7,16,26.0,432.0,390.0,1.107692
FUv~w,7,17,25.0,442.0,400.0,1.105
FUxvo,7,14,28.0,407.0,364.0,1.118132
FUxvw,7,15,27.0,420.0,378.0,1.111111
FUz]w,7,15,27.0,424.0,378.0,1.121693
FUz^o,7,15,27.0,420.0,378.0,1.111111
FUz^w,7,16,26.0,432.0,390.0,1.107692
FUzlw,7,15,27.0,421.0,378.0,1.113757
FUzmw,7,15,27.0,422.0,378.0,1.116402
FUznW,7,15,27.0,424.0,378.0,1.121693
FUznw,7,16,26.0,432.0,390.0,1.107692
FUzro,7,14,28.0,406.0,364.0,1.115385
FUzvW,7,15,27.0,420.0,378.0,1.111111
FUzvg,7,15,27.0,421.0,378.0,1.113757
FUzvo,7,15,27.0,420.0,378.0,1.111111
FUzvw,7,16,26.0,432.0,390.0,1.107692
FUz~o,7,16,26.0,432.0,390.0,1.107692
FUz~w,7,17,25.0,442.0,400.0,1.105
FU~vo,7,16,26.0,432.0,390.0,1.107692
FU~vw,7,17,25.0,442.0,400.0,1.105
