g6,n,m,W,sum_cards_W,naive_(m-1)W,ratio
G?bBvs,8,13,45.0,608.0,540.0,1.125926
G?bBvw,8,13,43.0,590.0,516.0,1.143411
G?bBv{,8,14,42.0,610.0,546.0,1.117216
G?bDJO,8,9,33.0,342.0,264.0,1.295455
G?bDJ_,8,9,59.0,540.0,472.0,1.144068
G?bDJo,8,10,49.0,534.0,441.0,1.210884
G?bDKk,8,10,52.0,480.0,468.0,1.025641
G?bDMk,8,11,50.0,524.0,500.0,1.048
G?bDMo,8,10,53.0,531.0,477.0,1.113208
G?bDMw,8,11,51.0,552.0,510.0,1.082353
G?bDNK,8,11,33.0,365.0,330.0,1.106061
G?bDNO,8,10,32.0,348.0,288.0,1.208333
G?bDNW,8,11,31.0,364.0,310.0,1.174194
G?bDN[,8,12,30.0,378.0,330.0,1.145455
G?bDN_,8,10,51.0,509.0,459.0,1.108932
G?bDNg,8,11,49.0,532.0,490.0,1.085714
G?bDNk,8,12,47.0,555.0,517.0,1.073501
G?bDNo,8,11,47.0,536.0,470.0,1.140426
G?bDNw,8,12,45.0,555.0,495.0,1.121212
G?bDN{,8,13,43.0,570.0,516.0,1.104651
G?bDPo,8,9,62.0,515.0,496.0,1.038306
G?bDPs,8,10,60.0,543.0,540.0,1.005556
G?bDPw,8,10,52.0,522.0,468.0,1.115385
G?bDP{,8,11,50.0,546.0,500.0,1.092
G?bDQg,8,9,64.0,520.0,512.0,1.015625
G?bDQk,8,10,52.0,520.0,468.0,1.111111
G?bDQo,8,9,57.0,531.0,456.0,1.164474
G?bDQs,8,10,51.0,519.0,459.0,1.130719
G?bDQw,8,10,55.0,546.0,495.0,1.10303
G?bDQ{,8,11,49.0,534.0,490.0,1.089796
G?bDRG,8,9,36.0,364.0,288.0,1.263889
G?bDRK,8,10,33.0,357.0,297.0,1.20202
G?bDRO,8,9,35.0,352.0,280.0,1.257143
G?bDRS,8,10,33.0,363.0,297.0,1.222222
G?bDRW,8,10,33.0,357.0,297.0,1.20202
G?bDR[,8,11,31.0,365.0,310.0,1.177419
G?bDR_,8,9,58.0,581.0,464.0,1.252155
G?bDRc,8,10,51.0,542.0,459.0,1.180828
G?bDRg,8,10,53.0,562.0,477.0,1.178197
G?bDRk,8,11,48.0,546.0,480.0,1.1375
G?bDRo,8,10,51.0,542.0,459.0,1.180828
G?bDRs,8,11,48.0,554.0,480.0,1.154167
G?bDRw,8,11,48.0,546.0,480.0,1.1375
G?bDR{,8,12,45.0,555.0,495.0,1.121212
G?bDSo,8,9,60.0,469.0,480.0,0.977083
G?bDSs,8,10,56.0,497.0,504.0,0.986111
G?bDSw,8,10,56.0,529.0,504.0,1.049603
G?bDS{,8,11,52.0,541.0,520.0,1.040385
G?bDTK,8,10,35.0,357.0,315.0,1.133333
G?bDTO,8,9,39.0,325.0,312.0,1.041667
G?bDTS,8,10,38.0,353.0,342.0,1.032164
G?bDTW,8,10,35.0,357.0,315.0,1.133333
G?bDT[,8,11,34.0,376.0,340.0,1.105882
G?bDTg,8,10,52.0,522.0,468.0,1.115385
G?bDTk,8,11,50.0,544.0,500.0,1.088
G?bDTo,8,10,56.0,512.0,504.0,1.015873
G?bDTs,8,11,54.0,546.0,540.0,1.011111
G?bDTw,8,11,50.0,545.0,500.0,1.09
G?bDT{,8,12,48.0,567.0,528.0,1.073864
G?bDUW,8,10,37.0,372.0,333.0,1.117117
G?bDU[,8,11,33.0,369.0,330.0,1.118182
G?bDUg,8,10,56.0,558.0,504.0,1.107143
G?bDUk,8,11,50.0,542.0,500.0,1.084
G?bDUo,8,10,55.0,541.0,495.0,1.092929
G?bDUs,8,11,49.0,541.0,490.0,1.104082
G?bDUw,8,11,53.0,569.0,530.0,1.073585
G?bDU{,8,12,47.0,559.0,517.0,1.081238
G?bDVG,8,10,34.0,366.0,306.0,1.196078
G?bDVK,8,11,32.0,373.0,320.0,1.165625
G?bDVO,8,10,34.0,366.0,306.0,1.196078
G?bDVS,8,11,32.0,377.0,320.0,1.178125
G?bDVW,8,11,32.0,374.0,320.0,1.16875
G?bDV[,8,12,30.0,380.0,330.0,1.151515
G?bDV_,8,10,52.0,542.0,468.0,1.15812
G?bDVc,8,11,49.0,554.0,490.0,1.130612
G?bDVg,8,11,49.0,557.0,490.0,1.136735
G?bDVk,8,12,46.0,564.0,506.0,1.114625
G?bDVo,8,11,49.0,556.0,490.0,1.134694
G?bDVs,8,12,46.0,569.0,506.0,1.124506
G?bDVw,8,12,46.0,566.0,506.0,1.118577
G?bDV{,8,13,43.0,572.0,516.0,1.108527
G?bD`g,8,9,54.0,508.0,432.0,1.175926
G?bD`k,8,10,53.0,533.0,477.0,1.1174
G?bD`o,8,9,58.0,520.0,464.0,1.12069
G?bD`s,8,10,57.0,550.0,513.0,1.072125
G?bD`w,8,10,50.0,528.0,450.0,1.173333
G?bD`{,8,11,49.0,557.0,490.0,1.136735
G?bDbG,8,9,56.0,526.0,448.0,1.174107
G?bDbK,8,10,52.0,523.0,468.0,1.117521
G?bDbO,8,9,54.0,532.0,432.0,1.231481
G?bDbS,8,10,50.0,529.0,450.0,1.175556
G?bDbW,8,10,52.0,551.0,468.0,1.17735
G?bDb[,8,11,48.0,546.0,480.0,1.1375
G?bDb_,8,9,56.0,558.0,448.0,1.245536
G?bDbc,8,10,52.0,558.0,468.0,1.192308
G?bDbg,8,10,51.0,546.0,459.0,1.189542
G?bDbk,8,11,49.0,560.0,490.0,1.142857
G?bDbo,8,10,49.0,548.0,441.0,1.24263
G?bDbs,8,11,47.0,563.0,470.0,1.197872
G?bDbw,8,11,46.0,552.0,460.0,1.2
G?bDb{,8,12,44.0,566.0,484.0,1.169421
G?bDdK,8,10,54.0,510.0,486.0,1.049383
G?bDdO,8,9,58.0,483.0,464.0,1.040948
G?bDdS,8,10,56.0,511.0,504.0,1.013889
G?bDdW,8,10,54.0,539.0,486.0,1.109053
G?bDd[,8,11,52.0,557.0,520.0,1.071154
G?bDd_,8,9,58.0,478.0,464.0,1.030172
G?bDdc,8,10,57.0,515.0,513.0,1.003899
G?bDdg,8,10,52.0,519.0,468.0,1.108974
G?bDdk,8,11,51.0,551.0,510.0,1.080392
G?bDdo,8,10,55.0,525.0,495.0,1.060606
G?bDds,8,11,54.0,561.0,540.0,1.038889
G?bDdw,8,11,49.0,557.0,490.0,1.136735
G?bDd{,8,12,48.0,584.0,528.0,1.106061
G?bDeW,8,10,57.0,512.0,513.0,0.998051
G?bDe[,8,11,51.0,550.0,510.0,1.078431
G?bDfG,8,10,54.0,536.0,486.0,1.102881
G?bDfK,8,11,50.0,542.0,500.0,1.084
G?bDfO,8,10,53.0,553.0,477.0,1.159329
G?bDfS,8,11,49.0,556.0,490.0,1.134694
G?bDfW,8,11,51.0,577.0,510.0,1.131373
G?bDf[,8,12,47.0,574.0,517.0,1.110251
G?bDf_,8,10,52.0,540.0,468.0,1.153846
G?bDfc,8,11,50.0,561.0,500.0,1.122
G?bDfg,8,11,49.0,554.0,490.0,1.130612
G?bDfk,8,12,47.0,572.0,517.0,1.106383
G?bDfo,8,11,48.0,569.0,480.0,1.185417
G?bDfs,8,12,46.0,585.0,506.0,1.156126
G?bDfw,8,12,45.0,577.0,495.0,1.165657
G?bDf{,8,13,43.0,588.0,516.0,1.139535
G?bDjo,8,11,45.0,548.0,450.0,1.217778
G?bDjs,8,12,44.0,566.0,484.0,1.169421
G?bDlg,8,11,50.0,538.0,500.0,1.076
G?bDlk,8,12,49.0,573.0,539.0,1.06308
G?bDnW,8,12,47.0,579.0,517.0,1.119923
G?bDn[,8,13,45.0,592.0,540.0,1.096296
G?bDng,8,12,47.0,572.0,517.0,1.106383
G?bDnk,8,13,46.0,601.0,552.0,1.088768
G?bDno,8,12,44.0,566.0,484.0,1.169421
G?bDns,8,13,43.0,590.0,516.0,1.143411
G?bDnw,8,13,43.0,590.0,516.0,1.143411
G?bDn{,8,14,42.0,612.0,546.0,1.120879
G?bDrg,8,11,48.0,578.0,480.0,1.204167
G?bDrk,8,12,45.0,577.0,495.0,1.165657
G?bDro,8,11,48.0,575.0,480.0,1.197917
G?bDrs,8,12,46.0,592.0,506.0,1.16996
G?bDrw,8,12,45.0,578.0,495.0,1.167677
G?bDr{,8,13,43.0,591.0,516.0,1.145349
G?bDtg,8,11,49.0,560.0,490.0,1.142857
G?bDtk,8,12,48.0,588.0,528.0,1.113636
G?bDto,8,11,54.0,561.0,540.0,1.038889
G?bDts,8,12,53.0,600.0,583.0,1.02916
G?bDtw,8,12,48.0,588.0,528.0,1.113636
G?bDt{,8,13,47.0,616.0,564.0,1.092199
G?bDvW,8,12,49.0,599.0,539.0,1.111317
G?bDv[,8,13,45.0,596.0,540.0,1.103704
G?bDvg,8,12,46.0,589.0,506.0,1.164032
G?bDvk,8,13,44.0,601.0,528.0,1.138258
G?bDvo,8,12,47.0,598.0,517.0,1.156673
G?bDvs,8,13,45.0,615.0,540.0,1.138889
G?bDvw,8,13,44.0,603.0,528.0,1.142045
G?bDv{,8,14,42.0,614.0,546.0,1.124542
G?bEHk,8,10,56.0,520.0,504.0,1.031746
G?bEHo,8,9,68.0,482.0,544.0,0.886029
G?bEHw,8,10,53.0,534.0,477.0,1.119497
G?bEH{,8,11,50.0,539.0,500.0,1.078
G?bEJK,8,10,37.0,354.0,333.0,1.063063
G?bEJO,8,9,36.0,348.0,288.0,1.208333
G?bEJW,8,10,34.0,346.0,306.0,1.130719
G?bEJ[,8,11,32.0,359.0,320.0,1.121875
G?bEJ_,8,9,65.0,490.0,520.0,0.942308
G?bEJg,8,10,56.0,532.0,504.0,1.055556
G?bEJk,8,11,53.0,548.0,530.0,1.033962
G?bEJo,8,10,52.0,538.0,468.0,1.149573
G?bEJw,8,11,49.0,532.0,490.0,1.085714
G?bEJ{,8,12,46.0,548.0,506.0,1.083004
G?bEK[,8,10,21.0,220.0,189.0,1.164021
G?bELK,8,10,35.0,339.0,315.0,1.07619
G?bELO,8,9,39.0,361.0,312.0,1.157051
G?bELW,8,10,35.0,355.0,315.0,1.126984
G?bEL[,8,11,33.0,365.0,330.0,1.106061
G?bEL_,8,9,59.0,452.0,472.0,0.957627
G?bELg,8,10,53.0,504.0,477.0,1.056604
G?bELk,8,11,50.0,523.0,500.0,1.046
G?bELo,8,10,56.0,558.0,504.0,1.107143
G?bELw,8,11,50.0,543.0,500.0,1.086
G?bEL{,8,12,47.0,554.0,517.0,1.071567
G?bEMK,8,10,21.0,212.0,189.0,1.121693
G?bEM[,8,11,19.0,222.0,190.0,1.168421
G?bENK,8,11,33.0,355.0,330.0,1.075758
G?bENO,8,10,34.0,347.0,306.0,1.133987
G?bENW,8,11,32.0,358.0,320.0,1.11875
G?bEN[,8,12,30.0,367.0,330.0,1.112121
G?bEN_,8,10,53.0,507.0,477.0,1.062893
G?bENg,8,11,50.0,523.0,500.0,1.046
G?bENk,8,12,47.0,542.0,517.0,1.048356
G?bENo,8,11,49.0,533.0,490.0,1.087755
G?bENw,8,12,46.0,546.0,506.0,1.079051
G?bEN{,8,13,43.0,556.0,516.0,1.077519
G?bEPo,8,9,61.0,499.0,488.0,1.022541
G?bEQW,8,9,21.0,201.0,168.0,1.196429
G?bERG,8,9,38.0,351.0,304.0,1.154605
G?bERW,8,10,34.0,343.0,306.0,1.120915
G?bER_,8,9,61.0,499.0,488.0,1.022541
G?bERg,8,10,55.0,546.0,495.0,1.10303
G?bERo,8,10,52.0,523.0,468.0,1.117521
G?bERw,8,11,49.0,529.0,490.0,1.079592
G?bETS,8,10,34.0,354.0,306.0,1.156863
G?bETW,8,10,34.0,347.0,306.0,1.133987
G?bETc,8,10,52.0,519.0,468.0,1.108974
G?bETg,8,10,52.0,524.0,468.0,1.119658
G?bETo,8,10,55.0,544.0,495.0,1.09899
G?bETs,8,11,49.0,543.0,490.0,1.108163
G?bETw,8,11,49.0,534.0,490.0,1.089796
G?bEUK,8,10,20.0,214.0,180.0,1.188889
G?bEUS,8,10,20.0,214.0,180.0,1.188889
G?bEUW,8,10,20.0,211.0,180.0,1.172222
G?bEU[,8,11,19.0,220.0,190.0,1.157895
G?bEVG,8,10,34.0,348.0,306.0,1.137255
G?bEVK,8,11,32.0,358.0,320.0,1.11875
G?bEVS,8,11,32.0,358.0,320.0,1.11875
G?bEVW,8,11,32.0,355.0,320.0,1.109375
G?bEV[,8,12,30.0,365.0,330.0,1.106061
G?bEV_,8,10,52.0,519.0,468.0,1.108974
G?bEVc,8,11,49.0,530.0,490.0,1.081633
G?bEVg,8,11,49.0,535.0,490.0,1.091837
G?bEVk,8,12,46.0,546.0,506.0,1.079051
G?bEVo,8,11,49.0,532.0,490.0,1.085714
G?bEVs,8,12,46.0,546.0,506.0,1.079051
G?bEVw,8,12,46.0,543.0,506.0,1.073123
G?bEV{,8,13,43.0,554.0,516.0,1.073643
G?bEZo,8,11,51.0,560.0,510.0,1.098039
G?bEZs,8,12,48.0,562.0,528.0,1.064394
G?bE\g,8,11,51.0,556.0,510.0,1.090196
G?bE\k,8,12,48.0,564.0,528.0,1.068182
G?bE\o,8,11,54.0,581.0,540.0,1.075926
G?bE\s,8,12,48.0,570.0,528.0,1.079545
G?bE]W,8,11,19.0,220.0,190.0,1.157895
G?bE][,8,12,18.0,228.0,198.0,1.151515
G?bE^W,8,12,31.0,375.0,341.0,1.099707
G?bE^[,8,13,29.0,383.0,348.0,1.100575
G?bE^g,8,12,48.0,570.0,528.0,1.079545
G?bE^k,8,13,45.0,578.0,540.0,1.07037
G?bE^o,8,12,48.0,565.0,528.0,1.070076
G?bE^s,8,13,45.0,576.0,540.0,1.066667
G?bE^w,8,13,45.0,576.0,540.0,1.066667
G?bE^{,8,14,42.0,584.0,546.0,1.069597
G?bF@o,8,9,57.0,558.0,456.0,1.223684
G?bFAg,8,9,58.0,504.0,464.0,1.086207
G?bFAo,8,9,55.0,510.0,440.0,1.159091
G?bFBG,8,9,36.0,337.0,288.0,1.170139
G?bFBO,8,9,34.0,340.0,272.0,1.25
G?bFBW,8,10,32.0,347.0,288.0,1.204861
G?bFB_,8,9,60.0,538.0,480.0,1.120833
G?bFBg,8,10,53.0,530.0,477.0,1.111111
G?bFBo,8,10,50.0,529.0,450.0,1.175556
G?bFBw,8,11,47.0,535.0,470.0,1.138298
G?bFCw,8,10,54.0,541.0,486.0,1.113169
G?bFDS,8,10,34.0,365.0,306.0,1.19281
G?bFDW,8,10,33.0,355.0,297.0,1.195286
G?bFDc,8,10,52.0,518.0,468.0,1.106838
G?bFDg,8,10,51.0,508.0,459.0,1.106754
G?bFDo,8,10,53.0,550.0,477.0,1.15304
G?bFDs,8,11,49.0,557.0,490.0,1.136735
G?bFDw,8,11,48.0,545.0,480.0,1.135417
G?bFEK,8,10,35.0,339.0,315.0,1.07619
G?bFES,8,10,34.0,345.0,306.0,1.127451
G?bFEW,8,10,35.0,357.0,315.0,1.133333
G?bFEc,8,10,52.0,494.0,468.0,1.055556
G?bFEg,8,10,54.0,512.0,486.0,1.053498
G?bFEk,8,11,50.0,524.0,500.0,1.048
G?bFEo,8,10,53.0,524.0,477.0,1.098532
G?bFEs,8,11,49.0,531.0,490.0,1.083673
G?bFEw,8,11,51.0,552.0,510.0,1.082353
G?bFFC,8,10,35.0,352.0,315.0,1.11746
G?bFFG,8,10,34.0,346.0,306.0,1.130719
G?bFFK,8,11,33.0,365.0,330.0,1.106061
G?bFFO,8,10,33.0,355.0,297.0,1.195286
G?bFFS,8,11,32.0,371.0,320.0,1.159375
G?bFFW,8,11,31.0,364.0,310.0,1.174194
G?bFF[,8,12,30.0,378.0,330.0,1.145455
G?bFF_,8,10,52.0,518.0,468.0,1.106838
G?bFFc,8,11,50.0,539.0,500.0,1.078
G?bFFg,8,11,49.0,533.0,490.0,1.087755
G?bFFk,8,12,47.0,555.0,517.0,1.073501
G?bFFo,8,11,48.0,544.0,480.0,1.133333
G?bFFs,8,12,46.0,562.0,506.0,1.110672
G?bFFw,8,12,45.0,555.0,495.0,1.121212
G?bFF{,8,13,43.0,570.0,516.0,1.104651
G?bFJg,8,11,52.0,566.0,520.0,1.088462
G?bFJk,8,12,50.0,586.0,550.0,1.065455
G?bFJo,8,11,48.0,556.0,480.0,1.158333
G?bFJs,8,12,46.0,565.0,506.0,1.116601
G?bFJw,8,12,46.0,566.0,506.0,1.118577
G?bFJ{,8,13,44.0,584.0,528.0,1.106061
G?bFKw,8,11,52.0,561.0,520.0,1.078846
G?bFK{,8,12,48.0,565.0,528.0,1.070076
G?bFLW,8,11,32.0,373.0,320.0,1.165625
G?bFL[,8,12,31.0,388.0,341.0,1.13783
G?bFLg,8,11,50.0,543.0,500.0,1.086
G?bFLk,8,12,48.0,565.0,528.0,1.070076
G?bFLo,8,11,51.0,576.0,510.0,1.129412
G?bFLs,8,12,47.0,576.0,517.0,1.11412
G?bFLw,8,12,47.0,577.0,517.0,1.116054
G?bFL{,8,13,45.0,592.0,540.0,1.096296
G?bFMW,8,11,33.0,369.0,330.0,1.118182
G?bFM[,8,12,31.0,377.0,341.0,1.105572
G?bFMg,8,11,52.0,541.0,520.0,1.040385
G?bFMk,8,12,48.0,553.0,528.0,1.047348
G?bFMw,8,12,49.0,578.0,539.0,1.072356
G?bFM{,8,13,45.0,579.0,540.0,1.072222
G?bFNG,8,11,33.0,365.0,330.0,1.106061
G?bFNK,8,12,32.0,385.0,352.0,1.09375
G?bFNW,8,12,30.0,380.0,330.0,1.151515
G?bFN[,8,13,29.0,394.0,348.0,1.132184
G?bFNg,8,12,48.0,566.0,528.0,1.07197
G?bFNk,8,13,46.0,588.0,552.0,1.065217
G?bFNo,8,12,46.0,567.0,506.0,1.120553
G?bFNs,8,13,44.0,583.0,528.0,1.104167
G?bFNw,8,13,44.0,584.0,528.0,1.106061
G?bFN{,8,14,42.0,598.0,546.0,1.095238
G?bFQw,8,11,51.0,547.0,510.0,1.072549
G?bFQ{,8,12,47.0,554.0,517.0,1.071567
G?bFRW,8,11,31.0,361.0,310.0,1.164516
G?bFR[,8,12,30.0,377.0,330.0,1.142424
G?bFRg,8,11,50.0,566.0,500.0,1.132
G?bFRk,8,12,46.0,567.0,506.0,1.120553
G?bFRo,8,11,49.0,558.0,490.0,1.138776
G?bFRs,8,12,47.0,574.0,517.0,1.110251
G?bFRw,8,12,46.0,563.0,506.0,1.112648
G?bFR{,8,13,44.0,580.0,528.0,1.098485
G?bFSw,8,11,51.0,551.0,510.0,1.080392
G?bFS{,8,12,47.0,558.0,517.0,1.079304
G?bFTW,8,11,31.0,364.0,310.0,1.174194
G?bFT[,8,12,30.0,380.0,330.0,1.151515
G?bFTg,8,11,48.0,548.0,480.0,1.141667
G?bFTk,8,12,46.0,564.0,506.0,1.114625
G?bFTo,8,11,51.0,577.0,510.0,1.131373
G?bFTs,8,12,47.0,582.0,517.0,1.125725
G?bFTw,8,12,46.0,567.0,506.0,1.120553
G?bFT{,8,13,44.0,583.0,528.0,1.104167
G?bFUW,8,11,33.0,365.0,330.0,1.106061
G?bFU[,8,12,31.0,375.0,341.0,1.099707
G?bFUg,8,11,51.0,552.0,510.0,1.082353
G?bFUk,8,12,47.0,557.0,517.0,1.077369
G?bFUo,8,11,51.0,550.0,510.0,1.078431
G?bFUs,8,12,47.0,557.0,517.0,1.077369
G?bFUw,8,12,49.0,574.0,539.0,1.064935
G?bFU{,8,13,45.0,577.0,540.0,1.068519
G?bFVG,8,11,31.0,365.0,310.0,1.177419
G?bFVK,8,12,30.0,380.0,330.0,1.151515
G?bFVO,8,11,32.0,371.0,320.0,1.159375
G?bFVS,8,12,31.0,388.0,341.0,1.13783
G?bFVW,8,12,30.0,377.0,330.0,1.142424
G?bFV[,8,13,29.0,392.0,348.0,1.126437
G?bFVg,8,12,46.0,568.0,506.0,1.12253
G?bFVk,8,13,44.0,583.0,528.0,1.104167
G?bFVo,8,12,47.0,574.0,517.0,1.110251
G?bFVs,8,13,45.0,592.0,540.0,1.096296
G?bFVw,8,13,44.0,581.0,528.0,1.100379
G?bFV{,8,14,42.0,596.0,546.0,1.091575
G?bF]w,8,13,47.0,598.0,564.0,1.060284
G?bF]{,8,14,43.0,597.0,559.0,1.067979
G?bF^W,8,13,29.0,392.0,348.0,1.126437
G?bF^[,8,14,28.0,406.0,364.0,1.115385
G?bF^w,8,14,43.0,609.0,559.0,1.089445
G?bF^{,8,15,41.0,622.0,574.0,1.083624
G?bF`w,8,11,46.0,548.0,460.0,1.191304
G?bF`{,8,12,45.0,575.0,495.0,1.161616
G?bFbW,8,11,48.0,547.0,480.0,1.139583
G?bFb[,8,12,46.0,565.0,506.0,1.116601
G?bFbg,8,11,49.0,559.0,490.0,1.140816
G?bFbk,8,12,48.0,588.0,528.0,1.113636
G?bFbo,8,11,47.0,559.0,470.0,1.189362
G?bFbs,8,12,46.0,583.0,506.0,1.152174
G?bFbw,8,12,44.0,565.0,484.0,1.167355
G?bFb{,8,13,43.0,590.0,516.0,1.143411
G?bFdW,8,11,49.0,556.0,490.0,1.134694
G?bFd[,8,12,47.0,573.0,517.0,1.108317
G?bFdg,8,11,48.0,543.0,480.0,1.13125
G?bFdk,8,12,47.0,572.0,517.0,1.106383
G?bFdo,8,11,49.0,579.0,490.0,1.181633
G?bFds,8,12,47.0,596.0,517.0,1.152805
G?bFdw,8,12,45.0,575.0,495.0,1.161616
G?bFd{,8,13,44.0,599.0,528.0,1.13447
G?bFeW,8,11,51.0,556.0,510.0,1.090196
G?bFe[,8,12,48.0,564.0,528.0,1.068182
G?bFfG,8,11,50.0,545.0,500.0,1.09
G?bFfK,8,12,48.0,565.0,528.0,1.070076
G?bFfO,8,11,49.0,556.0,490.0,1.134694
G?bFfS,8,12,47.0,572.0,517.0,1.106383
G?bFfW,8,12,47.0,579.0,517.0,1.119923
G?bFf[,8,13,45.0,592.0,540.0,1.096296
G?bFf_,8,11,50.0,560.0,500.0,1.12
G?bFfc,8,12,49.0,589.0,539.0,1.092764
G?bFfg,8,12,47.0,573.0,517.0,1.108317
G?bFfk,8,13,46.0,601.0,552.0,1.088768
G?bFfo,8,12,46.0,583.0,506.0,1.152174
G?bFfs,8,13,45.0,608.0,540.0,1.125926
G?bFfw,8,13,43.0,590.0,516.0,1.143411
G?bFf{,8,14,42.0,612.0,546.0,1.120879
G?bFlw,8,13,44.0,601.0,528.0,1.138258
G?bFl{,8,14,43.0,624.0,559.0,1.116279
G?bFnW,8,13,45.0,597.0,540.0,1.105556
G?bFn[,8,14,43.0,610.0,559.0,1.091234
G?bFng,8,13,46.0,601.0,552.0,1.088768
G?bFnk,8,14,45.0,630.0,585.0,1.076923
G?bFnw,8,14,42.0,614.0,546.0,1.124542
G?bFn{,8,15,41.0,636.0,574.0,1.108014
G?bFrw,8,13,43.0,587.0,516.0,1.137597
G?bFr{,8,14,42.0,611.0,546.0,1.119048
G?bFtw,8,13,43.0,590.0,516.0,1.143411
G?bFt{,8,14,42.0,614.0,546.0,1.124542
G?bFvW,8,13,45.0,593.0,540.0,1.098148
G?bFv[,8,14,43.0,608.0,559.0,1.087657
G?bFvg,8,13,43.0,591.0,516.0,1.145349
G?bFvk,8,14,42.0,614.0,546.0,1.124542
G?bFvo,8,13,45.0,608.0,540.0,1.125926
G?bFvs,8,14,44.0,634.0,572.0,1.108392
G?bFvw,8,14,42.0,611.0,546.0,1.119048
G?bFv{,8,15,41.0,634.0,574.0,1.10453
G?bF~w,8,15,41.0,634.0,574.0,1.10453
G?bF~{,8,16,40.0,656.0,600.0,1.093333
G?bJb_,8,10,60.0,594.0,540.0,1.1
G?bJbc,8,11,59.0,632.0,590.0,1.071186
G?bJbg,8,11,51.0,609.0,510.0,1.194118
G?bJbk,8,12,50.0,638.0,550.0,1.16
G?bJdW,8,11,53.0,614.0,530.0,1.158491
G?bJd[,8,12,47.0,585.0,517.0,1.131528
G?bJdo,8,11,50.0,601.0,500.0,1.202
G?bJds,8,12,46.0,594.0,506.0,1.173913
G?bJdw,8,12,46.0,602.0,506.0,1.189723
G?bJd{,8,13,43.0,598.0,516.0,1.158915
G?bJeW,8,11,59.0,582.0,590.0,0.986441
G?bJe[,8,12,50.0,594.0,550.0,1.08
G?bJfO,8,11,54.0,608.0,540.0,1.125926
G?bJfS,8,12,48.0,591.0,528.0,1.119318
G?bJfW,8,12,52.0,635.0,572.0,1.11014
G?bJf[,8,13,46.0,611.0,552.0,1.106884
G?bJf_,8,11,51.0,605.0,510.0,1.186275
G?bJfc,8,12,49.0,622.0,539.0,1.153989
G?bJfg,8,12,48.0,612.0,528.0,1.159091
G?bJfk,8,13,46.0,625.0,552.0,1.132246
G?bJfo,8,12,48.0,611.0,528.0,1.157197
G?bJfs,8,13,45.0,613.0,540.0,1.135185
G?bJfw,8,13,45.0,621.0,540.0,1.15
G?bJf{,8,14,42.0,618.0,546.0,1.131868
G?bJjg,8,12,48.0,608.0,528.0,1.151515
G?bJjk,8,13,47.0,640.0,564.0,1.134752
G?bJlw,8,13,43.0,598.0,516.0,1.158915
G?bJl{,8,14,42.0,618.0,546.0,1.131868
G?bJnW,8,13,46.0,612.0,552.0,1.108696
G?bJn[,8,14,44.0,622.0,572.0,1.087413
G?bJng,8,13,45.0,612.0,540.0,1.133333
G?bJnk,8,14,44.0,638.0,572.0,1.115385
G?bJno,8,13,43.0,593.0,516.0,1.149225
G?bJns,8,14,42.0,614.0,546.0,1.124542
G?bJnw,8,14,42.0,618.0,546.0,1.131868
G?bJn{,8,15,41.0,638.0,574.0,1.111498
G?bLR_,8,10,56.0,602.0,504.0,1.194444
G?bLRg,8,11,49.0,567.0,490.0,1.157143
G?bLRk,8,12,46.0,566.0,506.0,1.118577
G?bLSo,8,10,58.0,536.0,522.0,1.02682
G?bLSw,8,11,54.0,558.0,540.0,1.033333
G?bLS{,8,12,50.0,572.0,550.0,1.04
G?bLUW,8,11,36.0,393.0,360.0,1.091667
G?bLU[,8,12,32.0,389.0,352.0,1.105114
G?bLUo,8,11,54.0,575.0,540.0,1.064815
G?bLUs,8,12,48.0,570.0,528.0,1.079545
G?bLUw,8,12,52.0,605.0,572.0,1.057692
G?bLU{,8,13,46.0,592.0,552.0,1.072464
G?bLVO,8,11,33.0,382.0,330.0,1.157576
G?bLVW,8,12,31.0,391.0,341.0,1.146628
G?bLV[,8,13,29.0,396.0,348.0,1.137931
G?bLV_,8,11,50.0,567.0,500.0,1.134
G?bLVg,8,12,47.0,576.0,517.0,1.11412
G?bLVk,8,13,44.0,585.0,528.0,1.107955
G?bLVo,8,12,48.0,586.0,528.0,1.109848
G?bLVw,8,13,45.0,596.0,540.0,1.103704
G?bLV{,8,14,42.0,600.0,546.0,1.098901
G?bLZk,8,13,45.0,596.0,540.0,1.103704
G?bL[{,8,13,46.0,578.0,552.0,1.047101
G?bL]{,8,14,44.0,609.0,572.0,1.064685
G?bL^[,8,14,28.0,408.0,364.0,1.120879
G?bL^k,8,14,43.0,612.0,559.0,1.094812
G?bL^o,8,13,45.0,598.0,540.0,1.107407
G?bL^w,8,14,43.0,613.0,559.0,1.096601
G?bL^{,8,15,41.0,624.0,574.0,1.087108
G?bLrg,8,12,45.0,582.0,495.0,1.175758
G?bLrk,8,13,43.0,594.0,516.0,1.151163
G?bLt[,8,13,48.0,613.0,576.0,1.064236
G?bLto,8,12,52.0,622.0,572.0,1.087413
G?bLts,8,13,51.0,658.0,612.0,1.075163
G?bLtw,8,13,46.0,609.0,552.0,1.103261
G?bLt{,8,14,45.0,638.0,585.0,1.090598
G?bLvW,8,13,48.0,630.0,576.0,1.09375
G?bLv[,8,14,44.0,626.0,572.0,1.094406
G?bLvg,8,13,44.0,605.0,528.0,1.145833
G?bLvk,8,14,42.0,618.0,546.0,1.131868
G?bLvo,8,13,46.0,625.0,552.0,1.132246
G?bLvs,8,14,44.0,640.0,572.0,1.118881
