set,n_graphs,signature,target,target_desc,determined,H_target,I_signature_target,H_target_given_signature
chem_m4_n9,14592,deck:clique,et,multiset of edge degree-types of G,False,9.616145,3.431915,6.18423
chem_m4_n9,14592,deck:clique,so,Sombor index SO(G),False,9.611338,3.427108,6.18423
chem_m4_n9,14592,deck:clique,dd,multiset {Delta_e},False,13.22393,4.430548,8.793382
chem_m4_n9,14592,deck:clique,taus,number of spanning trees,False,9.676542,3.217273,6.459269
chem_m4_n9,14592,deck:clique,tri,number of triangles,False,2.685662,1.526714,1.158947
chem_m4_n9,14592,deck:clique,wiener,Wiener index,False,5.43239,1.528155,3.904235
chem_m4_n9,14592,deck:clique,n,order n,False,0.788366,0.237791,0.550575
chem_m4_n9,14592,deck:clique,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:clique,C,Sombor deletion correction C(G),False,9.616145,3.431915,6.18423
chem_m4_n9,14592,deck:chrom,ds,degree sequence of G,False,6.374577,3.145468,3.229109
chem_m4_n9,14592,deck:chrom,ds_sig,multiset of degree sequences of the cards,False,9.616145,3.481147,6.134998
chem_m4_n9,14592,deck:chrom,et,multiset of edge degree-types of G,False,9.616145,3.481147,6.134998
chem_m4_n9,14592,deck:chrom,so,Sombor index SO(G),False,9.611338,3.47634,6.134998
chem_m4_n9,14592,deck:chrom,dd,multiset {Delta_e},False,13.22393,4.361762,8.862168
chem_m4_n9,14592,deck:chrom,taus,number of spanning trees,False,9.676542,3.179939,6.496603
chem_m4_n9,14592,deck:chrom,tri,number of triangles,False,2.685662,0.957372,1.72829
chem_m4_n9,14592,deck:chrom,wiener,Wiener index,False,5.43239,1.506867,3.925523
chem_m4_n9,14592,deck:chrom,n,order n,False,0.788366,0.257448,0.530918
chem_m4_n9,14592,deck:chrom,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:chrom,C,Sombor deletion correction C(G),False,9.616145,3.481147,6.134998
chem_m4_n9,14592,deck:girth,ds,degree sequence of G,False,6.374577,3.20163,3.172947
chem_m4_n9,14592,deck:girth,ds_sig,multiset of degree sequences of the cards,False,9.616145,3.499411,6.116735
chem_m4_n9,14592,deck:girth,et,multiset of edge degree-types of G,False,9.616145,3.499411,6.116735
chem_m4_n9,14592,deck:girth,so,Sombor index SO(G),False,9.611338,3.494604,6.116735
chem_m4_n9,14592,deck:girth,dd,multiset {Delta_e},False,13.22393,4.435961,8.787969
chem_m4_n9,14592,deck:girth,taus,number of spanning trees,False,9.676542,3.27578,6.400762
chem_m4_n9,14592,deck:girth,tri,number of triangles,False,2.685662,1.355887,1.329775
chem_m4_n9,14592,deck:girth,wiener,Wiener index,False,5.43239,1.587706,3.844684
chem_m4_n9,14592,deck:girth,n,order n,False,0.788366,0.286441,0.501925
chem_m4_n9,14592,deck:girth,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:girth,C,Sombor deletion correction C(G),False,9.616145,3.499411,6.116735
chem_m4_n9,14592,deck:n_bridges,ds,degree sequence of G,False,6.374577,5.079488,1.295088
chem_m4_n9,14592,deck:n_bridges,ds_sig,multiset of degree sequences of the cards,False,9.616145,6.247597,3.368548
chem_m4_n9,14592,deck:n_bridges,et,multiset of edge degree-types of G,False,9.616145,6.247597,3.368548
chem_m4_n9,14592,deck:n_bridges,so,Sombor index SO(G),False,9.611338,6.24279,3.368548
chem_m4_n9,14592,deck:n_bridges,dd,multiset {Delta_e},False,13.22393,7.099682,6.124248
chem_m4_n9,14592,deck:n_bridges,taus,number of spanning trees,False,9.676542,5.43994,4.236602
chem_m4_n9,14592,deck:n_bridges,tri,number of triangles,False,2.685662,0.973295,1.712367
chem_m4_n9,14592,deck:n_bridges,wiener,Wiener index,False,5.43239,2.429426,3.002965
chem_m4_n9,14592,deck:n_bridges,n,order n,False,0.788366,0.635406,0.15296
chem_m4_n9,14592,deck:n_bridges,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:n_bridges,C,Sombor deletion correction C(G),False,9.616145,6.247597,3.368548
